id,sentence,japanese,answer
1,I totally ____ ____ this opinion.,私はこの意見に全面的に賛成です。,agree with
1,We ____ ____ this ____.,私たちはこの点で意見が一致した。,agreed on point
1,Spicy food does not ____ ____ me.,辛い食べ物は私には合わない.,agree with
2,strongly ____ the plan,その計画に強固に反対する,oppose
3,____ him not ____ eat too much,食べ過ぎないよう彼に忠告する,advise to
4,____ ____ how to use the library,図書館の利用法に関するヒント,tips on
4,leave a ____ for the waiter,ウェイターにチップを置く,tip
4,the ____ of my toes,足の指先,tips
5,____ the problem ____ a specialist,専門家とその問題について話し合う,discuss with
5,____ my hidden past,自分の隠された過去のことを話す,discuss
6,____ the car's brakes ____ the accident(=blame the accident on the car's brakes),その事故の原因は車のブレーキにあるとする,blame for
7,____ ____ reading aloud is important,音読は大切だと主張する,argue that
7,____ ____ her about training methods,練習方法のことで彼女と言い争う,argue with
8,____ ____ a vegetarian diet is better than a meat diet,菜食は肉食より優れていると主張する,claim that
8,Does anyone ____ this umbrella?,この傘の持ち主はいませんか(誰か自分の物だと主張しませんか).,claim
8,____ ____ ____ against an insurance company,保険会社に(保険金を)請求する,make a claim
9,____ ____ their loud music,彼らのうるさい音楽に文句を言う,complain about
9,____ ____ a headache,頭痛がすると訴える,complain of
10,____ him some coffee,彼にコーヒーはどうですかと尋ねる(申し出る),offer
10,refuse his ____,彼の申し出を断る,offer
10,T-shirts are on special ____ today.,今日はTシャツが特価(特別な値引き)だ,offer
11,That letter ____ ____ she is quite happy in her job.,"その手紙は,彼女が仕事をかなり楽しんでいることを示唆している.",suggests that
11,She ____ ____ us ____ we (should) take a break.,彼女は私たちに休憩するのはどうだろうかと提案した.,suggested to that
12,What would you ____?,〈レストランなどで〉何がお勧めですか(何を勧めますか).,recommend
13,I ____ ____ ____ your help.,ご助力に感謝しています.,am grateful for
14,____ ____ her ____ being late,遅刻したことを彼女に謝る,apologize to for
15,Don't make ____.,言い訳するな,excuses
15,"____ ____, but do you happen to know where the station is?",すみませんが、駅がどこにあるかご存じですか,Excuse me
15,He was ____ from the exam.,彼は試験を免除された.,excused
16,____ her 18th birthday,彼女の18歳の誕生日を祝う,celebrate
16,____ Mass,ミサを執り行う,celebrate
17,____ her on her exam results,試験結果について彼女を祝福する,congratulate
18,____ him ____ his great performance,すばらしい演技に対して彼を称賛する,admire for
19,I was deeply ____ ____ his speech,彼の演説に深い感銘を受けた(感銘を与えられた).,impressed by
20,an ____ ____,授賞式,award ceremony
20,She ____ ____ first prize.(≒ The first prize went to her.),彼女は一等賞をもらった(授与された).,was awarded
21,____ [×explain about] the rules of baseball to him,彼に野球のルールを説明する,explain
22,Could you ____ your lost bag?,なくしたバッグ(の特徴)を読明していただけませんか,describe
23,____ ____ each other in sign language,手話でお互いに意思の疎通をはかる,communicate with
23,____ my feelings in English,英語で自分の気持ちを伝える,communicate
24,____ [× Say] your opinions clearly.,はっきりと意見を言い(を表現し)なさい.,Express
24,on the 9:00 a.m. ____ (train),午前9時の急行列車で,express
25,____ ____ ____ ____ lose weight,減量するという約束をする,make a promise to
25,____ her ____ be back by 5,5時までには戻ると彼女に約束する,promise to
26,various kinds of[× various] ____,さまざまな情報,information
27,science and ____,科学技術(科学と科学技術),technology
28,____ ____ ____ space rockets,宇宙ロケットに関する研究を行う,do research on
28,____ an environmental issue,環境問題を研究する,research
29,collect ____ for a paper,レボートの材料を集める,materials
29,use movies as ____ ____,映画を教材として使う,teaching materials
29,give ____ support,物質的な援助をする,material
29,____ changes to the schedule,計画の重大な変更,material
30,____ intelligence (AI),人工知能,artificial
31,an ____ car,電気自動車,electric
32,____ a speaking robot,会話のできるロボットを発明する,invent
32,____ a fantastic story,とんでもない話をでっち上げる,invent
33,____ a human mummy,人間のミイラを発見する,discover
33,____ ____ the painting is a fake,その絵が偽物であることに気がつく,discover that
33,____ the Beatles,ビートルズ(の音楽)に出会う,discover
34,____ ____ a big city,大都市に発展する,develop into
34,____ a sense of humor,ユーモアのセンスを伸ばす,develop
34,____ software,ソフトウェアを開発する,develop
34,____ your ideas,考えを発展させる,develop
34,____  pneumonia,肺炎になる,develop
35,improve my tennis ____,テニスの技術を高める,skills
36,improve my ____ to speak English [× of speaking English],英語を話す力を伸ばす,ability
37,show my musical ____,音楽の才能を発揮する,talent
38,make an ____ to be on time,時間に間に合うように努力する,effort
39,We have ____ on Saturday.,土曜日に練習がある.,practice
39,____ a plan ____ ____,計画を実行に移す,put into practice
39,the ____ of sleeping after dinner,タ食後に寝る習慣,practice
39,____ ____ the piano,ピアノの練習をする,practice playing
39,____ my religion,宗教を実践する,practice
40,____ his ____ ____ becoming a vet,獣医になるという目標を達成する,achieve goal of
41,I ____ ____ [×could] catch the last train.,何とか終電に乗ることができた.,managed to
41,____ my time effectively,効果的に時間を管理する,manage
42,____ my cooking skills,私の料理の腕を上達させる,improve
42,His English has ____ recently.,彼の英語は近頃よくなった.,improved
43,____ rice and vegetables,米と野菜を生産する,produce
43,____ a ticket from my pocket,(提示するために)ボケットから切符を取り出す,produce
43,fresh farm ____,新鮮な農作物,produce
44,____ a website,ホームページを創る,create
44,____ new problems,新たな問題を引き起こす,create
45,____ a close friendship with him,彼と親密な友情を築く,establish
45,This publishing company ____ ____ in 1950.,この出版社は1950年に設立された.,was established
46,____ a rock band,ロックバンドを形成する,form
46,Happiness comes ____ various ____.,幸せは様々な形態でやって来る.,in forms
46,fill out an application ____,申し込み書に記入する,form
47,This ____ you a lot of trouble.,これによって多くの手間が省ける.,saves
47,____ some money every month,毎月貯金する,save
47,You ____ ____ ____.,君は命の恩人だ(私の命を救った).,saved my life
47,answer all of the questions ____ one,1つを除いて全ての質問に答える,save
48,take[× drink] the ____ twice a day,1日に2回その薬を飲む,medicine
48,study ____ at Harvard,ハーパードで医学を学ぶ,medicine
49,The ____ is getting better.,その患者は快方に向かっている.,patient
49,Teachers need to be ____.,教師は忍耐強くなければならない.,patient
50,My body is in good ____.,私の体は調子がよい,condition
50,work under bad ____,悪条件の下で働く,conditions
51,____ expenses,医療費,medical
51,____ science(* medicine より堅い表現),医学,medical
52,have a lot of ____,ストレスが多い,stress
52,____ [lay] ____ ____ foreign language education,外国語教育に重点を置く,put stress on
52,____ the importance of teamwork,チームワークの重要性を強調する,stress
53,I ____ ____ ____ jet lag.,時差ぼけに苦しんでいる.,am suffering from
53,The company ____ a heavy loss.,その会社は大きな損失を出した(大きな損失を経験した).,suffered
54,____ light ____,軽い運動をする,get exercise
54,piano ____,ピアノの練習,exercises
54,____ ____,定期的に運動する,exercise regularly
54,____ the ____ to vote,投票権を行使する,exercise right
55,____ deeply,深呼吸する,breathe
56,I'm really ____.,本当にのどが?いた.,thirsty
56,He ____ ____ ____ power.,彼は権力志向が強い(権力を切望している).,is thirsty for
57,____ health,体の健康,physical
57,the ____ world,物質界,physical
58,l ____ ____ ____.,熱がある.,have a fever
58,be gripped by soccer ____,サッカー熱に取りつかれる,fever
59,build up my physical ____,体力をつける,strength
59,try with all my ____ to lift the piano,全力でそのピアノを持ち上げようとする,strength
60,I was moved to ____.,私は感動して泣いた.,tears
60,____ ____ the letter from him,彼からの手紙を引き裂く,tear up
61,This apple ____ sweet.,このリンゴは甘い(味がする).,tastes
61,____ the soup,スープの味見をする,taste
61,This wine has a strong acid ____.,このワインは酸味が強い.,taste
61,____ ____ ____ ____ clothes,服のセンスがよい,have good taste in
62,It is ____ the ____.,それは規則違反だ.,against rules
62,____ the country,その国を支配する,rule
63,play an important ____ in society,社会で重要な役割を果たす,role
64,____ ____ ____ ____ making excuses,言い訳をする期がある,have a habit of
65,Different countries have different ____.,習慣は国によって違う(異なる国は異なる習慣をもつ).,customs
65,show what is in my suitcase at ____,税関でスーツケースの中を見せる,customs
66,Japanese ____,日本の伝統,traditions
67,women's status in ____,社会での女性の地位,society
67,an internet-dependent ____,インターネット依存社会,society
67,enjoy her ____,彼女と同席することを楽しむ,society
67,the Royal ____ for the Prevention of Cruelty to Animals,英国王立動物虐待防止協会,Society
68,Parking here is against ____ ____.,ここでの駐車は法律違反だ.,the law
68,____ ____ against smoking on the street,路上喫煙を禁じる法律,a law
68,the ____ of nature,自然の法則,laws
69,My ____ were French.,私の祖先はフランス人だった.,ancestors
70,The ____ ____ Tokyo is larger [×more] than that of Osaka.,東京の人口は大阪の人口より多い.,population of
70,L.A. has a large Chinese ____.,ロサンゼルスには多くの中国人が住んでいる(多くの中国人住民をもつ).,population
71,his ____ languagu,彼の母(国)語,native
71,a ____ of Japan,日本生まれの人,native
72,find a job ____,海外で仕事を見つける,abroad
73,a ____ bank,地元の銀行,local
73,____ government,地方自治体,local
73,talk with the ____,地元の人々と話す,locals
74,according to a recent ____,最近の調査によると,survey
74,____ the opinions of teenagers,10代の若者たちの意見を調査する,survey
75,the ____ of the painting,その絵の価値,value
75,Everyone has their own ____.,誰もが自分独自の価値観を有する.,values
75,This shirt is really ____ ____.,このシャツは本当にお買い得だ.,good value
75,____ their privacy,彼らのプライパシーを重んじる,value
76,a national ____,国宝,treasure
76,My secretary is a real ____.,私の秘書は本当に宝物(のような存在)だ,treasure
76,____ this moment with her,彼女とのこの瞬間を大切にする,treasure
77,follow ____ ____ ____,最新の流行を追う,the latest fashion
77,in the traditional ____,伝統的なやり方で,fashion
77,____ stone tools,石器を作る,fashion
78,____ ____ public,一般大衆,the general
78,____ places,公共の場所,public
79,There is no ____ to support his story,彼の話を裏づける証拠はない。,evidence
80,receive 45% of the ____,投票数の45%を獲得する,vote
80,____ ____ ____ ____,投票権(投票する権利),the right to vote
81,the Japanese ____,日本政府,government
82,the most powerful ____ in the world,世界で一番力のある国,nation
82,the voice of ____ ____,国民の声,the nation
83,What is the ____ of Canada?,カナダの首都はどこですか.,capital
